WARN 2012-12-18 12:02:32,143 [com.fortify.server.configuration.ConfigurationMain] - Unconfigured property file found: AMConfig.properties
INFO 2012-12-18 12:31:04,535 [liquibase] - Marking ChangeSet: dbF360Mysql_3.7.0.xml::f360Mysql_3.7.0_0::hp::(Checksum: 3:faed68675fc2caef4b175e761b8eeb4a) ran despite precondition failure due to onFail='MARK_RAN': 
          dbMaster.xml : DBMS Precondition failed: expected mysql, got db2


INFO 2012-12-18 12:31:04,535 [liquibase] - Marking ChangeSet: dbF360Mssql_3.7.0.xml::f360Mssql_3.7.0_0::hp::(Checksum: 3:46d839c1f9ec4c07c0ec3cbf59c1873a) ran despite precondition failure due to onFail='MARK_RAN': 
          dbMaster.xml : DBMS Precondition failed: expected mssql, got db2


INFO 2012-12-18 12:31:04,545 [liquibase] - Marking ChangeSet: dbF360Oracle_3.7.0.xml::f360Oracle_3.7.0_0::hp::(Checksum: 3:39f97984c72c5f9f9022ebc2419d3338) ran despite precondition failure due to onFail='MARK_RAN': 
          dbMaster.xml : DBMS Precondition failed: expected oracle, got db2


INFO 2012-12-18 12:31:04,545 [liquibase] - ChangeSet dbF360_3.7.0.xml::f360_3.7.0_1::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,545 [liquibase] - ChangeSet dbF360_3.7.0.xml::f360_3.7.0_2::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,555 [liquibase] - ChangeSet dbF360_3.7.0.xml::f360_3.7.0_3::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,575 [liquibase] - ChangeSet dbF360_3.8.0.xml::f360_3.8.0_0::hp ran successfully in 20ms

INFO 2012-12-18 12:31:04,585 [liquibase] - ChangeSet dbF360_3.8.0.xml::f360_3.8.0_1::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,615 [liquibase] - ChangeSet dbF360_3.8.0.xml::f360_3.8.0_2::hp ran successfully in 20ms

INFO 2012-12-18 12:31:04,625 [liquibase] - ChangeSet dbF360_3.8.0.xml::f360_3.8.0_3::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,635 [liquibase] - ChangeSet dbF360_3.8.0.xml::f360_3.8.0_4::hp ran successfully in 10ms

INFO 2012-12-18 12:31:04,665 [liquibase] - ChangeSet dbF360_3.8.0.xml::f360_3.8.0_5::hp ran successfully in 20ms

INFO 2012-12-18 12:31:04,685 [liquibase] - ChangeSet dbF360_3.8.0.xml::f360_3.8.0_6::hp ran successfully in 10ms

INFO 2012-12-18 12:31:04,695 [liquibase] - Successfully released change log lock

INFO 2012-12-18 12:31:04,695 [liquibase] - Successfully released change log lock

